Date,MaxT,WS_Name
26991,,COPENHAGEN KASTRUP
26991,7,AALBORG
26992,,THYBOROEN
26992,,SKAGEN
26994,-2,AALBORG
26995,,SKAGEN
26996,,SKAGEN
26997,,THYBOROEN
26998,-4,AALBORG
26999,-5,AALBORG
27001,,THYBOROEN
27003,,COPENHAGEN KASTRUP
27005,,COPENHAGEN KASTRUP
27007,,THYBOROEN
27010,,THYBOROEN
27011,,SKAGEN
27012,1,AALBORG
27013,,SKAGEN
27020,2,AALBORG
27022,,THYBOROEN
27022,,SKAGEN
27023,,COPENHAGEN KASTRUP
27023,2,AALBORG
27024,,COPENHAGEN KASTRUP
27010,,SKAGEN
27014,,THYBOROEN
27014,2,AALBORG
27016,,COPENHAGEN KASTRUP
27017,,SKAGEN
27018,,SKAGEN
27020,,COPENHAGEN KASTRUP
27024,,SKAGEN
27025,,THYBOROEN
27027,,THYBOROEN
27029,,THYBOROEN
27031,,THYBOROEN
27033,2,AALBORG
27034,,COPENHAGEN KASTRUP
27036,,THYBOROEN
27036,2,AALBORG
27038,,THYBOROEN
27040,1,AALBORG
27041,,COPENHAGEN KASTRUP
27041,3,AALBORG
27043,,COPENHAGEN KASTRUP
27045,,THYBOROEN
27049,,SKAGEN
27053,,THYBOROEN
27054,6,AALBORG
27056,,THYBOROEN
27059,,COPENHAGEN KASTRUP
27060,,SKAGEN
26787,,THYBOROEN
26789,17,AALBORG
26792,,THYBOROEN
26796,,SKAGEN
26798,,SKAGEN
26799,,COPENHAGEN KASTRUP
26800,,SKAGEN
26801,,COPENHAGEN KASTRUP
26802,,SKAGEN
26803,12,AALBORG
26809,,SKAGEN
26810,,COPENHAGEN KASTRUP
26810,,SKAGEN
26812,,THYBOROEN
26817,13,AALBORG
26818,,SKAGEN
26821,,THYBOROEN
26823,,SKAGEN
26823,,THYBOROEN
26827,,SKAGEN
26827,18,AALBORG
26828,17,AALBORG
26832,,SKAGEN
26833,,COPENHAGEN KASTRUP
26833,23,AALBORG
26834,,SKAGEN
26835,,COPENHAGEN KASTRUP
26841,26,AALBORG
26842,,COPENHAGEN KASTRUP
27031,,SKAGEN
27034,,THYBOROEN
27034,3,AALBORG
27035,,THYBOROEN
27037,,COPENHAGEN KASTRUP
27038,2,AALBORG
27040,,COPENHAGEN KASTRUP
27040,,SKAGEN
27042,,THYBOROEN
27043,,THYBOROEN
27051,3,AALBORG
27054,,THYBOROEN
27055,,COPENHAGEN KASTRUP
27056,,COPENHAGEN KASTRUP
