id,tipo,clasificacion,descripcionresumida,responsable,calle,altura,letra,bis,coordenadax,coordenaday,GEOJSON
119592,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,MITRE GENERAL BARTOLOME,2685,,0,5439704.75751164,6352540.39948055,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.644956, -32.968375 ] } }"
119591,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,LORETO,3455,,0,5438786.29859596,6351708.97109771,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.654835, -32.975820 ] } }"
74841,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,RODRIGUEZ MARTIN,3550,,0,5437652.68,6351821.01,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.666954, -32.974745 ] } }"
74818,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,PATRIA,1651,,0,5438569.56,6349047.26,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.657332, -32.999806 ] } }"
74846,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,RUEDA MIGUEL,3450,,0,5436757.28,6352878.7,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.676459, -32.965158 ] } }"
74845,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública-Metálico Verde Trasera,Lime,ROUILLON ALFREDO,1950,,0,5434361.87,6354398.01,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.701971, -32.951318 ] } }"
74848,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,RUEDA MIGUEL,2350,,0,5438151.03,6352591.94,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661571, -32.967823 ] } }"
74855,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,SEGUI JUAN FRANCISCO,3550,,0,5436447.01,6352023.69,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.679837, -32.972849 ] } }"
74856,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,SEGUI JUAN FRANCISCO,3951,,0,5435927.74,6352080.57,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.685387, -32.972305 ] } }"
74860,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública-Metálico Verde Trasera,Lime,SUIPACHA,2950,,0,5437301.04,6352690.35,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.670656, -32.966887 ] } }"
